place,rent,lat,lon
"Rathfarnham, Dublin 14",1284.48,53.300498,-6.283854
Dublin 15,1043.91,53.344827,-6.247802
"Ashtown, Dublin 15",1084.19,53.3704,-6.323598
"Blanchardstown, Dublin 15",997.64,53.394358,-6.391701
"Carpenterstown, Dublin 15",1055.75,53.374825,-6.389088
"Castleknock, Dublin 15",1144.46,53.383921,-6.371552
"Clonee, Dublin 15",986.93,53.406188,-6.444369
"Clonsilla, Dublin 15",1023.11,53.383071,-6.410314
"Coolmine, Dublin 15",1033.78,53.391371,-6.398024
"Mulhuddart, Dublin 15",908.51,53.403015,-6.398294
"Ongar, Dublin 15",955.13,53.395096,-6.43839
"Porterstown, Dublin 15",933.63,53.367423,-6.390837
"Royal Canal Park, Dublin 15",1063.69,53.372553,-6.319647
"Tyrrelstown, Dublin 15",1017.57,53.413895,-6.397719
Dublin 16,1278.18,53.33172,-6.265456
"Ballinteer, Dublin 16",1319.53,53.27673,-6.255437
"Dundrum, Dublin 16",1337.79,53.309025,-6.225082
"Knocklyon, Dublin 16",1258.47,53.320422,-6.291037
"Rathfarnham, Dublin 16",1262.83,53.300498,-6.283854
"Sandyford, Dublin 16",0,53.28657,-6.240742
Dublin 17,989.95,53.338415,-6.290541
"Malahide Road, Dublin 17",968.54,53.393579,-6.191475
"Northern Cross, Dublin 17",0,53.404178,-6.180736
Dublin 18,1304.7,53.338408,-6.29061
"Cabinteely, Dublin 18",1246.76,53.263701,-6.16634
"Carrickmines, Dublin 18",1248.05,53.259262,-6.186267
"Foxrock, Dublin 18",1680.6,53.268584,-6.182979
"Leopardstown, Dublin 18",1406.93,53.267776,-6.198408
"Sandyford, Dublin 18",1283.95,53.278536,-6.231407
"Stepaside, Dublin 18",1198.24,53.252494,-6.214391
Dublin 20,1012.95,53.332415,-6.242576
"Chapelizod, Dublin 20",987.22,53.34784,-6.346247
"Palmerstown, Dublin 20",1022.28,53.353497,-6.370216
"Clondalkin, Dublin 22",936.43,53.321056,-6.393981
Dublin 24,971.29,53.332415,-6.242576
"Ballycullen, Dublin 24",1101.3,53.273029,-6.326975
"Citywest, Dublin 24",984.07,53.277098,-6.414852
"Firhouse, Dublin 24",1072.3,53.278972,-6.346477
"Tallaght, Dublin 24",951.03,53.288804,-6.355706
Galway,788.24,53.270668,-9.056791
Galway City,867.87,53.270668,-9.056791
"Athenry, Galway",585.84,53.304338,-8.750189
"Ballinasloe, Galway",479.86,53.328762,-8.226947
"Ballybane, Galway",674.8,53.278928,-9.008853
"Ballybrit, Galway",729.38,53.290426,-8.99729
"Barna, Galway",868.86,53.251812,-9.147468
"Bohermore, Galway",895.71,53.28002,-9.04305
"Claregalway, Galway",662.27,53.340903,-8.945673
"Clifden, Galway",508.26,53.488986,-10.017925
"Doughiska, Galway",730.66,53.28343,-8.98372
"Gort, Galway",632.39,53.066643,-8.818749
"Headford, Galway",1006.47,53.469462,-9.106134
"Knocknacarra, Galway",817.16,53.267527,-9.112398
"Loughrea, Galway",489.58,53.198914,-8.566093
"Mervue, Galway",0,53.283582,-9.016779
"Monivea, Galway",520.52,53.374262,-8.702721
"Moycullen, Galway",673.59,53.338748,-9.181478
"Newcastle, Galway",1025.26,53.28311,-9.074893
"Oranmore, Galway",725.81,53.270347,-8.921948
"Oughterard, Galway",561.3,53.428548,-9.318947
"Portumna, Galway",409.48,53.092781,-8.218541
"Rahoon, Galway",825.74,53.27562,-9.092555
"Renmore, Galway",769.86,53.274392,-9.01768
"Roscam, Galway",842.49,53.27629,-8.97045
"Salthill, Galway",846.72,53.262565,-9.070427
"Tuam, Galway",565.62,53.517988,-8.855627
"Wellpark, Galway",864.02,53.283114,-9.029377
"Woodquay, Galway",976.63,53.276244,-9.053127
Kerry,533.5,52.154461,-9.566863
